ngay,soctu,noidung,tkdung,dvtinh,copsinh
2019-10-30,340-BC/AG,Cty ¸nh D­¬ng VN chuyÓn tiÒn dÞch vô taxi th¸ng 10/2019,1121,,10000000
2019-10-31,364-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 10/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
2019-11-06,11-PT,Thu tiÒn hoa hång b¸n thÎ BHYT th¸ng 09/2019 (36 thÎ),1111,,558644
2019-11-28,105-KTK,"ChiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 09, 10/2019",331,,1470000
2019-11-29,283-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 11/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
2019-12-04,35-BC/AG,Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T10/2019 theo H§ sè: 003/2019/H§DV ngµy 01/05/2019 - Cty Open 99,1121,,10000000
2019-12-05,49-BC/AG,Cty ¸nh D­¬ng VN chuyÓn tiÒn dÞch vô taxi th¸ng 11/2019,1121,,10000000
2019-12-06,08-KTK,ChiÕt khÊu tiÒn hµng,331,,1619887
2019-12-26,38-PT,Thu tiÒn hoa hång ®¹i lý b¸n thÎ BHYT th¸ng 10/2019 (33 thÎ),1111,,445226
2019-12-31,387-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 12/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
